numero,phase,livrable,priorite,branche_pr,depend_de,prompt
19,2,Hébergements — propriétés,Haute,feature/admin-properties,18,"CRUD properties, images, amenities. Critères: filtre destination."
20,2,Chambres & équipements,Haute,feature/admin-rooms-amenities,19,"CRUD rooms par property, amenities globales. Critères: multi-select amenities."
21,2,Disponibilités chambres,Haute,feature/admin-room-availability,20,"Calendrier room_availability, stock, prix, bulk dates. Critères: conflits gérés."
22,2,Vols (catalogue),Moyenne,feature/admin-flights-catalog,10,"Admin airlines, airports, flights, classes, availability. Critères: vol + dispo."
23,2,Location véhicules,Moyenne,feature/admin-vehicle-rental,10,"Admin agencies, vehicles, categories, availability. Critères: dispo dates."
24,2,Croisières,Moyenne,feature/admin-cruises-catalog,10,"Admin cruise lines, ships, cabins, sailings, itineraries. Critères: sailing + itinéraire."
25,2,Activités,Moyenne,feature/admin-activities-catalog,18,"CRUD providers, activities, schedules. Critères: créneaux par destination."
26,2,Packages combinés,Moyenne,feature/admin-packages,"19,22","CRUD packages + package_items polymorphes. Critères: multi-items."
27,3,Logique métier réservation,Critique,feature/api-booking-engine,21,"BookingEngine: vérif dispo, calcul total, statuts, POST checkout-preview et /bookings. Critères: pas sans stock."
28,3,Booking items polymorphes,Haute,feature/api-booking-items-logic,27,"Items multi-types room/flight/vehicle/cabin/activity. Annulation libère stock. Critères: mixte OK."
29,3,Admin — liste réservations,Haute,feature/admin-bookings,"27,10","Tableau bookings filtres pagination. Critères: bookings.read."
30,3,Admin — détail réservation,Haute,feature/admin-booking-detail,29,"Page /dashboard/bookings/[id], statut, annulation. Critères: via engine #27."
31,3,Intégration Stripe,Critique,feature/stripe-payments,27,"Stripe PaymentIntent/Checkout, webhook, payments table. Critères: test mode + booking confirmed."
32,3,Codes promo & promotions,Moyenne,feature/promo-codes-checkout,"27,31","promo_codes dans checkout-preview. Critères: réduction correcte."
33,3,Remboursements,Moyenne,feature/payments-refunds,31,"POST refund Stripe, statut refunded. Critères: booking annulé only."
34,4,Remplacer Coming Soon,Haute,feature/web-homepage-v1,,"Homepage marketing apps/web: hero, verticales, CTA, SEO. Critères: responsive."
35,4,Recherche hébergements,Haute,feature/web-hotel-search,"21,34","Page /hotels recherche + résultats API. Critères: état vide géré."
36,4,Fiche produit hébergement,Haute,feature/web-property-detail,35,"Page /hotels/[id] galerie, chambres, CTA Réserver. Critères: prix selon dates."
37,4,Parcours réservation web,Critique,feature/web-booking-checkout,"27,31,35","Panier → Stripe → confirmation. Critères: E2E test mode."
38,4,Compte client web,Haute,feature/web-customer-account,"1,37","/account profil, adresses, réservations. Rôle customer. Critères: ses bookings only."
39,4,Avis & notes,Moyenne,feature/web-reviews,37,"Reviews affichage + post-séjour. Critères: 1 avis/booking."
40,4,Support client,Moyenne,feature/web-support,34,"/support FAQ + support_tickets. Critères: ticket en DB."
41,4,Fidélité OneKey,Basse,feature/web-loyalty,38,"loyalty_accounts solde, points après paiement. Critères: solde mis à jour."
42,5,Shell POS,Haute,feature/pos-shell-auth,"1,7","Layout POS tactile, login employé, sélection org. Critères: session employé."
43,5,Vente sur place,Haute,feature/pos-quick-sale,"27,42","Vente rapide panier cash/Stripe, booking+payment. Critères: < 10 clics."
44,5,Reçus & impression,Moyenne,feature/pos-receipts,43,"Reçu HTML/PDF + email. Critères: impression OK."
45,6,Tests API (e2e),Haute,feature/api-e2e-tests,"1,27","Jest supertest health, auth, booking. Critères: suite verte."
46,6,Tests E2E front,Moyenne,feature/e2e-playwright,"5,37","Playwright admin login + web checkout. Critères: 2 specs stables."
47,6,CI GitHub Actions,Haute,feature/ci-github-actions,,"ci.yml pnpm lint build test. Critères: PR déclenche CI."
48,6,Observabilité,Moyenne,feature/api-observability,,"Logs structurés, health DB ping. Critères: unhealthy si DB down."
49,6,i18n FR/EN,Moyenne,feature/i18n-fr-en,"10,34","next-intl admin+web, preferred_language. Critères: FR défaut EN auth."
50,6,OpenAPI → client,Basse,feature/openapi-codegen,4,"Codegen Swagger → api-client. pnpm codegen:api. Critères: login typé."
51,6,Durcissement prod,Haute,feature/production-hardening,"2,31","CORS strict, nginx headers, rate limit, doc prod. Critères: checklist sécurité."
52,6,Notifications email,Moyenne,feature/email-notifications,"8,37","Email booking, reset, bienvenue. SMTP .env.example. Critères: dev Mailpit."
